,sbj0,sbj1,sbj2,sbj3,sbj4,sbj5,sbj6,sbj7,sbj8
монтаж,0.000393382354357,0.0,0.0,0.0,2.80376487148e-05,0.0,0.0,0.0,0.00011846588384
вязкостнозагущающие,0.0,0.0,5.5130524389e-05,0.0,0.0,0.0,0.0,0.0,0.0
вероятностностатистического,0.0,0.0,0.0,0.0,0.0,0.0,3.5614670095e-05,0.0,0.0
пистолетпулемет,0.0,0.0,5.51305452569e-05,0.0,0.0,0.0,0.0,0.0,0.0
httpabcvvsurubooksinnmenpageasp,0.0,0.0,0.0,0.0,0.0,3.6302348254e-05,0.0,0.0,0.0
краткий,0.0,7.96892596153e-05,6.58162203363e-05,0.0,0.0,8.33158297203e-05,0.0,0.0,6.80506814713e-05
эпистемология,0.0,0.0,0.0,9.47105916424e-05,0.0,0.0,0.0,0.0,0.0
рса,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.63289907202e-05,0.0
макролидного,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.36563115929e-05
двумерный,0.0,0.000566034930367,0.0,0.0,0.0,0.0,0.0,0.0,0.0
измерительноисполнительных,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.36563083592e-05
отопить,9.3291106168e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
service,0.0,0.0,0.0,0.0,5.63547936601e-05,0.0,0.0,0.000161613271221,3.42753893205e-06
цитируемость,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.36555822469e-05
крыть,0.0,0.0,0.000338466768073,0.00012746862477,0.0,0.0,0.0,3.43079837975e-05,0.0
микросхема,0.0,0.0,0.0,0.0,0.00239511103266,0.0,0.0,0.0,0.0
автоматический,0.00139140946218,0.000880174370342,0.0,0.0,0.000434379124882,0.000305083728262,0.0,0.0,0.0
вскрыть,0.0,0.0,0.0,0.0,4.34988922058e-05,0.0,0.0,0.0,0.0
пожаротушения,4.29356709869e-05,0.0,0.0,0.0,0.0,3.00780898183e-05,0.0,0.0,0.0
усложнение,0.0,0.000103931083903,0.0,8.17461943721e-05,0.0,0.0,0.0,0.0,2.97990147721e-05
экспансия,0.0,0.0,0.0,0.0,0.0,3.66289882633e-05,0.0,0.0,0.0
звено,0.000496382083611,3.0524316344e-05,0.000107345710376,0.0,0.000462185548486,0.0,0.0,0.0,3.2006341598e-05
постоянноналаженного,0.0,0.0,0.0,0.0,3.56653482513e-05,0.0,1.74415900893e-06,0.0,0.0
образованииле,0.0,0.0,5.51305323219e-05,0.0,0.0,0.0,0.0,0.0,0.0
tlp,0.0,0.0,0.000165387116438,0.0,0.0,0.0,0.0,0.0,0.0
текс,0.0,0.0,0.0,4.76834732873e-05,0.0,0.0,0.0,0.0,0.0
переобо,0.0,0.0,0.0,0.0,0.0,0.0,3.88985144026e-05,0.0,0.0
кмолейм,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.36563115929e-05
ukraine,0.0,4.06969791381e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
двухфазный,6.30050380921e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.000193626397704,7.88046210792e-06
трудоемкий,1.46393067552e-05,0.000190925617062,0.000150616637256,0.0,2.80256863332e-05,0.0,0.0,0.0,0.0
идентификатора,0.0,4.06969791381e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
музейный,0.0,0.0,0.0,0.0,3.80511600168e-05,0.0,0.0,0.0,3.82096121838e-05
formation,4.66455530841e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
построение,0.00435333914428,0.00790054194003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
актиномицет,0.0,0.0,5.51305323219e-05,0.0,0.0,0.0,0.0,0.0,0.0
машинный,0.0,0.0,6.31493826357e-05,0.0,0.0,0.0,0.0,0.000428029067275,0.0
обезболивать,0.0,0.0,0.0,0.0,0.0,3.66290559113e-05,0.0,0.0,0.0
псн,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000138986985096,0.0
граничный,2.50539378233e-05,9.36419600823e-05,0.0,0.000410845626864,0.0,0.0,0.0,0.0,3.57951866663e-05
взаимодействие,0.000602546721995,0.000543854424095,0.0,0.00128166656132,0.0,9.44284175746e-05,0.0,0.000658338648565,0.0
инвертор,0.0,0.0,0.0,0.0,0.00130132597621,0.0,0.0,0.0,0.00010397209769
нлумана,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.36563115792e-05
вводить,0.0,3.04128479908e-05,0.0,0.000197018205654,0.0,2.06120457738e-05,0.0,8.13573569758e-05,0.0
обрабатывать,0.000192733877056,0.00033586133476,0.0,0.0,0.0,0.0,0.00107014311915,0.0,0.0
учебнотренировочных,4.13296208231e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76915874463e-05
публикационный,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00106053828258
интегральный,0.0,0.00383276695917,0.0,0.0,0.00100303225751,0.0,0.0,0.0,0.0
кузнечиха,0.0,0.0,0.000110261064636,0.0,0.0,0.0,0.0,0.0,0.0
разнообразие,0.000273383314587,0.000217750469554,0.0,0.0,0.0,0.0,0.0,0.0,6.87401672885e-05
азартный,0.0,0.0,5.51305387893e-05,0.0,0.0,0.0,0.0,0.0,0.0
penicillium,0.0,0.0,0.000153239108095,0.0,0.0,0.0,0.0,7.22455999314e-05,0.0
биодизельным,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6328975854e-05,0.0
изготовить,0.0,0.0,0.0,0.0,0.000220910694881,0.0,7.01964506531e-05,0.000895473572861,6.78464327591e-05
небезопасный,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.08795785915e-05,3.78579061362e-05
оправка,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000968809353139,0.0
степанович,0.0,0.0,0.0,4.76834732884e-05,0.0,0.0,0.0,0.0,0.0
существующее,1.11337810599e-05,0.0,0.0,0.000118270801737,0.0,0.000266114564271,0.0,0.0,1.57786796409e-05
косогор,0.0,4.06660688724e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
объёмом,0.0,3.11558105374e-05,0.0,0.0,0.0,0.0,7.04417361327e-05,0.0,0.0
лимонный,0.0,0.0,0.0,0.0,0.00119755234816,0.0,0.0,0.0,0.0
аб,4.66455530841e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
заболевний,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00106053851131
госкомпаниями,0.0,0.0,5.5127120406e-05,0.0,0.0,0.0,0.0,0.0,0.0
пользование,0.0,0.00010173023735,0.0002220795967,0.0,0.0,9.85706673081e-05,0.000122604712363,0.0,0.0
hfss,0.0,0.0,0.0,0.000381467732839,0.0,0.0,0.0,0.0,0.0
автоматический,0.00321230767036,0.0,0.0,0.0,0.0,0.00268151946107,0.0,0.0,0.0
матрёшек,0.0,0.0,5.5126966095e-05,0.0,0.0,0.0,0.0,0.0,0.0
информационносправочная,0.0,0.0,0.0,0.0,0.0,0.0001098871645,0.0,0.0,0.0
глубинный,0.000140201550374,0.0,0.000120205778211,0.0,0.0,2.95643939062e-05,0.0,0.0,0.0
алексееванновгород,0.0,3.05343656033e-05,0.0,0.0,3.6805160587e-05,0.0,0.0,0.0,0.0
нелинейной,0.000404439304183,0.000134337509443,0.0,0.0,0.0,0.0,0.0,0.0,0.0
отопительный,0.0,0.0,0.0,0.0,0.0,2.99498171586e-05,3.6223755356e-05,0.0,0.0
выгружаться,4.66455530841e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
нормативнотехническая,0.0,3.60646605301e-05,4.46133759439e-05,0.0,0.0,0.0,0.0,0.0,0.0
коэффициент,0.00320710673824,0.0,0.0,0.000357377239403,0.00507994055644,0.0,0.0,0.0,0.000389825216393
перлитный,0.0,0.0,0.0,0.0,0.0,0.000173227002556,2.13032795319e-05,0.0,0.0
двунаправленных,0.0,0.0,0.0,0.0,8.69977844155e-05,0.0,0.0,0.0,0.0
калибровка,0.0,0.0,0.0,0.00019826266652,0.000389523436017,0.0,0.0,0.0,6.82183846879e-05
непрерывный,0.000685681081245,0.000142752267291,0.0,3.6265426186e-05,0.0,4.8820935061e-05,0.000160853220021,0.0,6.4383451698e-05
киввой,0.0,0.0,0.0,0.0,0.0,0.0,3.88985144024e-05,0.0,0.0
злоумышленник,7.98282254371e-05,6.66690303594e-05,0.0,0.0,0.0,1.22830661828e-05,0.0,0.0,0.0
процентиля,0.0,0.0,0.0,0.0,4.34988588181e-05,0.0,0.0,0.0,0.0
